item,group,test,tier,seeds,verdicts,fired,bins,bins_unhit,unhit_list,witness_bins,witness_marked,hold,carve,status
TP-BIT-015,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,3,3,CG-BIT-004.cp_grev_ctrl.c24 (not declared); CG-BIT-004.cp_op.grevi (not declared); CG-BIT-004.cp_operand.bytes_01020304 (not declared),0,no,,,UNHIT (3 of 3 bins)
TP-BIT-016,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,yes,15,15,CG-BIT-004.cp_grev_ctrl.c0; CG-BIT-004.cp_grev_ctrl.c31; CG-BIT-004.cp_op.gorc; CG-BIT-004.cp_op.grev; CG-BIT-004.cp_operand.single_bit; CG-BIT-004.cp_rs2_upper.nonzero; CG-BIT-004.cp_rs2_upper.zero; CG-BIT-004.cr_grev_ctrl.gorc_c0; CG-BIT-004.cr_grev_ctrl.gorc_c31; CG-BIT-004.cr_grev_ctrl.grev_c0; CG-BIT-004.cr_grev_ctrl.grev_c31; CG-BIT-004.cr_reg_upper.gorc_nonzero; CG-BIT-004.cr_reg_upper.gorc_zero; CG-BIT-004.cr_reg_upper.grev_nonzero; CG-BIT-004.cr_reg_upper.grev_zero,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-017,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,33,0,,0,no,,,CREDITED
TP-BIT-018,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,48,0,,0,no,,,CREDITED
TP-BIT-019,gen_bit_ratified,gen_test_bit_ratified,targeted,3,PASS,yes,16,5,CG-BIT-006.cp_binv_twice.yes (bins_not_hit); CG-BIT-011.cp_illegal_class.bclri_bit25 (not declared); CG-BIT-011.cp_illegal_class.bexti_bit25 (not declared); CG-BIT-011.cp_illegal_class.binvi_bit25 (not declared); CG-BIT-011.cp_illegal_class.bseti_bit25 (not declared),0,no,,,UNHIT (5 of 16 bins)
TP-BIT-020,gen_bit_ratified,gen_test_bit_ratified,smoke,3,PASS,yes,43,37,CG-BIT-007.cp_op.clmul (not declared); CG-BIT-007.cp_op.clmulh (not declared); CG-BIT-007.cp_op.clmulr (not declared); CG-BIT-007.cp_rs1_class.rand (not declared); CG-BIT-007.cp_rs1_class.single_bit (not declared); CG-BIT-007.cp_rs2_class.rand (not declared); CG-BIT-007.cp_rs2_class.single_bit (not declared); CG-BIT-007.cr_clmul_rs2.clmul_all_ones (not declared); CG-BIT-007.cr_clmul_rs2.clmul_one (not declared); CG-BIT-007.cr_clmul_rs2.clmul_rand (not declared); CG-BIT-007.cr_clmul_rs2.clmul_single_bit (not declared); CG-BIT-007.cr_clmul_rs2.clmul_zero (not declared); CG-BIT-007.cr_clmul_rs2.clmulh_all_ones (not declared); CG-BIT-007.cr_clmul_rs2.clmulh_one (not declared); CG-BIT-007.cr_clmul_rs2.clmulh_rand (not declared); CG-BIT-007.cr_clmul_rs2.clmulh_single_bit (not declared); CG-BIT-007.cr_clmul_rs2.clmulh_zero (not declared); CG-BIT-007.cr_clmul_rs2.clmulr_all_ones (not declared); CG-BIT-007.cr_clmul_rs2.clmulr_one (not declared); CG-BIT-007.cr_clmul_rs2.clmulr_rand (not declared); CG-BIT-007.cr_clmul_rs2.clmulr_single_bit (not declared); CG-BIT-007.cr_clmul_rs2.clmulr_zero (not declared); CG-BIT-007.cr_op_rs1.clmul_all_ones (not declared); CG-BIT-007.cr_op_rs1.clmul_one (not declared); CG-BIT-007.cr_op_rs1.clmul_rand (not declared); CG-BIT-007.cr_op_rs1.clmul_single_bit (not declared); CG-BIT-007.cr_op_rs1.clmul_zero (not declared); CG-BIT-007.cr_op_rs1.clmulh_all_ones (not declared); CG-BIT-007.cr_op_rs1.clmulh_one (not declared); CG-BIT-007.cr_op_rs1.clmulh_rand (not declared); CG-BIT-007.cr_op_rs1.clmulh_single_bit (not declared); CG-BIT-007.cr_op_rs1.clmulh_zero (not declared); CG-BIT-007.cr_op_rs1.clmulr_all_ones (not declared); CG-BIT-007.cr_op_rs1.clmulr_one (not declared); CG-BIT-007.cr_op_rs1.clmulr_rand (not declared); CG-BIT-007.cr_op_rs1.clmulr_single_bit (not declared); CG-BIT-007.cr_op_rs1.clmulr_zero (not declared),0,no,,,UNHIT (37 of 43 bins)
TP-BIT-021,gen_bit_ratified,gen_test_bit_ratified,targeted,3,PASS,yes,15,11,CG-BIT-007.cp_bit_sum.ge32 (not declared); CG-BIT-007.cp_bit_sum.lt32 (not declared); CG-BIT-007.cp_op.clmul (not declared); CG-BIT-007.cp_op.clmulh (not declared); CG-BIT-007.cp_op.clmulr (not declared); CG-BIT-007.cr_clmul_bitsum.clmul_ge32 (not declared); CG-BIT-007.cr_clmul_bitsum.clmul_lt32 (not declared); CG-BIT-007.cr_clmul_bitsum.clmulh_ge32 (not declared); CG-BIT-007.cr_clmul_bitsum.clmulh_lt32 (not declared); CG-BIT-007.cr_clmul_bitsum.clmulr_ge32 (not declared); CG-BIT-007.cr_clmul_bitsum.clmulr_lt32 (not declared),0,no,,,UNHIT (11 of 15 bins)
TP-BIT-022,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,51,51,CG-BIT-003.cp_amount.a0; CG-BIT-003.cp_amount.a1; CG-BIT-003.cp_amount.a31; CG-BIT-003.cp_amount.mid; CG-BIT-003.cp_op.slo; CG-BIT-003.cp_op.sloi; CG-BIT-003.cp_op.sro; CG-BIT-003.cp_op.sroi; CG-BIT-003.cp_operand.all_ones; CG-BIT-003.cp_operand.lsb_only; CG-BIT-003.cp_operand.msb_only; CG-BIT-003.cp_operand.rand; CG-BIT-003.cp_operand.zero; CG-BIT-003.cp_sloi_bits.b00; CG-BIT-003.cp_sroi_bit25.b0; CG-BIT-003.cr_op_amount.slo_a0; CG-BIT-003.cr_op_amount.slo_a1; CG-BIT-003.cr_op_amount.slo_a31; CG-BIT-003.cr_op_amount.slo_mid; CG-BIT-003.cr_op_amount.sloi_a0; CG-BIT-003.cr_op_amount.sloi_a1; CG-BIT-003.cr_op_amount.sloi_a31; CG-BIT-003.cr_op_amount.sloi_mid; CG-BIT-003.cr_op_amount.sro_a0; CG-BIT-003.cr_op_amount.sro_a1; CG-BIT-003.cr_op_amount.sro_a31; CG-BIT-003.cr_op_amount.sro_mid; CG-BIT-003.cr_op_amount.sroi_a0; CG-BIT-003.cr_op_amount.sroi_a1; CG-BIT-003.cr_op_amount.sroi_a31; CG-BIT-003.cr_op_amount.sroi_mid; CG-BIT-003.cr_op_operand.slo_all_ones; CG-BIT-003.cr_op_operand.slo_lsb_only; CG-BIT-003.cr_op_operand.slo_msb_only; CG-BIT-003.cr_op_operand.slo_rand; CG-BIT-003.cr_op_operand.slo_zero; CG-BIT-003.cr_op_operand.sloi_all_ones; CG-BIT-003.cr_op_operand.sloi_lsb_only; CG-BIT-003.cr_op_operand.sloi_msb_only; CG-BIT-003.cr_op_operand.sloi_rand; CG-BIT-003.cr_op_operand.sloi_zero; CG-BIT-003.cr_op_operand.sro_all_ones; CG-BIT-003.cr_op_operand.sro_lsb_only; CG-BIT-003.cr_op_operand.sro_msb_only; CG-BIT-003.cr_op_operand.sro_rand; CG-BIT-003.cr_op_operand.sro_zero; CG-BIT-003.cr_op_operand.sroi_all_ones; CG-BIT-003.cr_op_operand.sroi_lsb_only; CG-BIT-003.cr_op_operand.sroi_msb_only; CG-BIT-003.cr_op_operand.sroi_rand; CG-BIT-003.cr_op_operand.sroi_zero,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-023,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,27,27,CG-BIT-003.cp_amount.a0; CG-BIT-003.cp_amount.a31; CG-BIT-003.cp_op.rol; CG-BIT-003.cp_op.ror; CG-BIT-003.cp_op.slo; CG-BIT-003.cp_op.sro; CG-BIT-003.cp_operand.zero; CG-BIT-003.cp_rs2_upper.all_ones; CG-BIT-003.cp_rs2_upper.is32; CG-BIT-003.cp_rs2_upper.other_nonzero; CG-BIT-003.cp_rs2_upper.zero; CG-BIT-003.cr_reg_upper.rol_all_ones; CG-BIT-003.cr_reg_upper.rol_is32; CG-BIT-003.cr_reg_upper.rol_other_nonzero; CG-BIT-003.cr_reg_upper.rol_zero; CG-BIT-003.cr_reg_upper.ror_all_ones; CG-BIT-003.cr_reg_upper.ror_is32; CG-BIT-003.cr_reg_upper.ror_other_nonzero; CG-BIT-003.cr_reg_upper.ror_zero; CG-BIT-003.cr_reg_upper.slo_all_ones; CG-BIT-003.cr_reg_upper.slo_is32; CG-BIT-003.cr_reg_upper.slo_other_nonzero; CG-BIT-003.cr_reg_upper.slo_zero; CG-BIT-003.cr_reg_upper.sro_all_ones; CG-BIT-003.cr_reg_upper.sro_is32; CG-BIT-003.cr_reg_upper.sro_other_nonzero; CG-BIT-003.cr_reg_upper.sro_zero,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-024,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,10,10,CG-BIT-004.cp_op.shfl; CG-BIT-004.cp_op.shfli; CG-BIT-004.cp_op.unshfl; CG-BIT-004.cp_op.unshfli; CG-BIT-004.cp_shfl_ctrl.c15; CG-BIT-004.cr_shfl_ctrl.shfl_c15; CG-BIT-004.cr_shfl_ctrl.shfli_c15; CG-BIT-004.cr_shfl_ctrl.unshfl_c15; CG-BIT-004.cr_shfl_ctrl.unshfli_c15; CG-BIT-011.cp_illegal_class.shfli_bit26,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-025,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,43,43,CG-BIT-005.cp_index_pattern.all_oob; CG-BIT-005.cp_index_pattern.all_same; CG-BIT-005.cp_index_pattern.identity; CG-BIT-005.cp_index_pattern.mixed_oob; CG-BIT-005.cp_index_pattern.rand; CG-BIT-005.cp_index_pattern.reverse; CG-BIT-005.cp_op.xperm_b; CG-BIT-005.cp_op.xperm_h; CG-BIT-005.cp_op.xperm_n; CG-BIT-005.cp_rs1_class.all_ones; CG-BIT-005.cp_rs1_class.distinct_lanes; CG-BIT-005.cp_rs1_class.rand; CG-BIT-005.cp_rs1_class.zero; CG-BIT-005.cr_op_pattern.xperm_b_all_oob; CG-BIT-005.cr_op_pattern.xperm_b_all_same; CG-BIT-005.cr_op_pattern.xperm_b_identity; CG-BIT-005.cr_op_pattern.xperm_b_mixed_oob; CG-BIT-005.cr_op_pattern.xperm_b_rand; CG-BIT-005.cr_op_pattern.xperm_b_reverse; CG-BIT-005.cr_op_pattern.xperm_h_all_oob; CG-BIT-005.cr_op_pattern.xperm_h_all_same; CG-BIT-005.cr_op_pattern.xperm_h_identity; CG-BIT-005.cr_op_pattern.xperm_h_mixed_oob; CG-BIT-005.cr_op_pattern.xperm_h_rand; CG-BIT-005.cr_op_pattern.xperm_h_reverse; CG-BIT-005.cr_op_pattern.xperm_n_all_oob; CG-BIT-005.cr_op_pattern.xperm_n_all_same; CG-BIT-005.cr_op_pattern.xperm_n_identity; CG-BIT-005.cr_op_pattern.xperm_n_mixed_oob; CG-BIT-005.cr_op_pattern.xperm_n_rand; CG-BIT-005.cr_op_pattern.xperm_n_reverse; CG-BIT-005.cr_op_rs1.xperm_b_all_ones; CG-BIT-005.cr_op_rs1.xperm_b_distinct_lanes; CG-BIT-005.cr_op_rs1.xperm_b_rand; CG-BIT-005.cr_op_rs1.xperm_b_zero; CG-BIT-005.cr_op_rs1.xperm_h_all_ones; CG-BIT-005.cr_op_rs1.xperm_h_distinct_lanes; CG-BIT-005.cr_op_rs1.xperm_h_rand; CG-BIT-005.cr_op_rs1.xperm_h_zero; CG-BIT-005.cr_op_rs1.xperm_n_all_ones; CG-BIT-005.cr_op_rs1.xperm_n_distinct_lanes; CG-BIT-005.cr_op_rs1.xperm_n_rand; CG-BIT-005.cr_op_rs1.xperm_n_zero,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-026,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,18,18,CG-BIT-005.cp_index_pattern.all_oob; CG-BIT-005.cp_index_pattern.mixed_oob; CG-BIT-005.cp_oob_lanes.all; CG-BIT-005.cp_oob_lanes.none; CG-BIT-005.cp_oob_lanes.some; CG-BIT-005.cp_op.xperm_b; CG-BIT-005.cp_op.xperm_h; CG-BIT-005.cp_op.xperm_n; CG-BIT-005.cp_rs1_class.all_ones; CG-BIT-005.cr_op_oob.xperm_b_all; CG-BIT-005.cr_op_oob.xperm_b_none; CG-BIT-005.cr_op_oob.xperm_b_some; CG-BIT-005.cr_op_oob.xperm_h_all; CG-BIT-005.cr_op_oob.xperm_h_none; CG-BIT-005.cr_op_oob.xperm_h_some; CG-BIT-005.cr_op_oob.xperm_n_all; CG-BIT-005.cr_op_oob.xperm_n_none; CG-BIT-005.cr_op_oob.xperm_n_some,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
TP-BIT-027,gen_bit_draft,gen_test_bit_draft,targeted,3,PASS,none,46,46,CG-BIT-008.cp_cmix_mask.all_ones; CG-BIT-008.cp_cmix_mask.alt; CG-BIT-008.cp_cmix_mask.rand; CG-BIT-008.cp_cmix_mask.zero; CG-BIT-008.cp_cmov_ctrl.msb_only; CG-BIT-008.cp_cmov_ctrl.nonzero_rand; CG-BIT-008.cp_cmov_ctrl.one; CG-BIT-008.cp_cmov_ctrl.zero; CG-BIT-008.cp_op.cmix; CG-BIT-008.cp_op.cmov; CG-BIT-008.cp_rs1_rs3_class.equal; CG-BIT-008.cp_rs1_rs3_class.ones_zero; CG-BIT-008.cp_rs1_rs3_class.rand; CG-BIT-008.cp_rs1_rs3_class.zero_ones; CG-BIT-008.cp_rs3_choice.distinct; CG-BIT-008.cp_rs3_choice.eq_rd; CG-BIT-008.cp_rs3_choice.eq_rs1; CG-BIT-008.cp_rs3_choice.eq_rs2; CG-BIT-008.cp_rs3_choice.x0; CG-BIT-008.cr_op_rs13.cmix_equal; CG-BIT-008.cr_op_rs13.cmix_ones_zero; CG-BIT-008.cr_op_rs13.cmix_rand; CG-BIT-008.cr_op_rs13.cmix_zero_ones; CG-BIT-008.cr_op_rs13.cmov_equal; CG-BIT-008.cr_op_rs13.cmov_ones_zero; CG-BIT-008.cr_op_rs13.cmov_rand; CG-BIT-008.cr_op_rs13.cmov_zero_ones; CG-BIT-008.cr_op_rs3.cmix_distinct; CG-BIT-008.cr_op_rs3.cmix_eq_rd; CG-BIT-008.cr_op_rs3.cmix_eq_rs1; CG-BIT-008.cr_op_rs3.cmix_eq_rs2; CG-BIT-008.cr_op_rs3.cmix_x0; CG-BIT-008.cr_op_rs3.cmov_distinct; CG-BIT-008.cr_op_rs3.cmov_eq_rd; CG-BIT-008.cr_op_rs3.cmov_eq_rs1; CG-BIT-008.cr_op_rs3.cmov_eq_rs2; CG-BIT-008.cr_op_rs3.cmov_x0; CG-BIT-010.cp_delta.d2; CG-BIT-010.cp_fetch_stall.no; CG-BIT-010.cp_op.cmix; CG-BIT-010.cp_op.cmov; CG-BIT-010.cp_op_class.ternary; CG-BIT-010.cp_wb_busy.no; CG-BIT-010.cr_class_delta_clean.ternary_d2; CG-BIT-010.cr_op_delta_clean.cmix_d2; CG-BIT-010.cr_op_delta_clean.cmov_d2,0,no,,,UNVERIFIED (no fcov check with per-bin results in the round)
